COUNTRY,ISO,ADMIN_1,ADMIN_2,SP_ID_1,SP_ID_2,YEAR,AGE_LOWER,AGE_UPPER,SAMPLE_SIZE,POSITIVE,VAC_STATUS,TEST,BEST_TEST,EPI,SOURCE,POPULATION,COVERAGE,POP_0,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,POP_7,POP_8,POP_9,POP_10,POP_11,POP_12,POP_13,POP_14,POP_15,POP_16,POP_17,POP_18,POP_19,POP_20,POP_21,POP_22,POP_23,POP_24,POP_25,POP_26,POP_27,POP_28,POP_29,POP_30,POP_31,POP_32,POP_33,POP_34,POP_35,POP_36,POP_37,POP_38,POP_39,POP_40,POP_41,POP_42,POP_43,POP_44,POP_45,POP_46,POP_47,POP_48,POP_49,POP_50,POP_51,POP_52,POP_53,POP_54,POP_55,POP_56,POP_57,POP_58,POP_59,POP_60,POP_61,POP_62,POP_63,POP_64,POP_65,POP_66,POP_67,POP_68,POP_69,POP_70,POP_71,POP_72,POP_73,POP_74,POP_75,POP_76,POP_77,POP_78,POP_79,POP_80,POP_81,POP_82,POP_83,POP_84,POP_85,POP_86,POP_87,POP_88,POP_89,POP_90,POP_91,POP_92,POP_93,POP_94,POP_95,POP_96,POP_97,POP_98,POP_99,COV_0,COV_1,COV_2,COV_3,COV_4,COV_5,COV_6,COV_7,COV_8,COV_9,COV_10,COV_11,COV_12,COV_13,COV_14,COV_15,COV_16,COV_17,COV_18,COV_19,COV_20,COV_21,COV_22,COV_23,COV_24,COV_25,COV_26,COV_27,COV_28,COV_29,COV_30,COV_31,COV_32,COV_33,COV_34,COV_35,COV_36,COV_37,COV_38,COV_39,COV_40,COV_41,COV_42,COV_43,COV_44,COV_45,COV_46,COV_47,COV_48,COV_49,COV_50,COV_51,COV_52,COV_53,COV_54,COV_55,COV_56,COV_57,COV_58,COV_59,COV_60,COV_61,COV_62,COV_63,COV_64,COV_65,COV_66,COV_67,COV_68,COV_69,COV_70,COV_71,COV_72,COV_73,COV_74,COV_75,COV_76,COV_77,COV_78,COV_79,COV_80,COV_81,COV_82,COV_83,COV_84,COV_85,COV_86,COV_87,COV_88,COV_89,COV_90,COV_91,COV_92,COV_93,COV_94,COV_95,COV_96,COV_97,COV_98,COV_99
CAMEROON,CMR,Extreme-Nord,Sudan savana,4,NA,1984,0,13,492,43,N,HAEMAGGLUTINATION INHIBITION,0,Y,TSAI,NA,NA,72073.24162,67980.46914,64255.27503,60870.83648,58057.61788,55301.22129,52783.93593,50482.11537,48371.58379,46442.81204,44686.27096,43006.31606,41349.83112,39736.40384,38236.79704,36835.65819,35465.93025,34101.31983,32757.8853,31483.62539,30275.36371,29092.33665,27920.42693,26778.16348,25686.01633,24627.57415,23680.6584,22882.50335,22190.58075,21528.83381,20915.26205,20290.22,19617.17925,18924.55078,18276.21525,17656.99658,17077.83565,16550.02629,16062.98055,15590.75793,15132.47611,14707.36988,14320.2038,13959.5076,13610.28168,13277.46709,12926.47651,12539.4869,12130.96846,11733.21443,11339.69558,10954.47063,10583.18648,10221.43148,9859.676488,9499.33322,9142.166338,8787.646444,8435.597071,8085.841755,7738.733426,7391.801563,7043.634439,6695.467315,6350.123645,6008.132826,5664.906746,5318.680746,4972.101815,4630.993325,4295.884675,3964.481807,3636.608256,3314.734544,3002.389987,2699.927519,2409.994126,2134.707398,1874.243803,1627.191611,1388.433315,1180.027145,989.7969578,830.2718285,699.8635647,515.1038188,432.8707323,344.6378068,241.405284,192.7007092,121.4085054,97.58561555,73.40979398,51.17509676,37.05782869,16.94072169,14.11726807,10.76441691,7.411565738,3.529317018,0,0,0,0,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.345509933,0.345509933,0.345509933,0.345509933,0.569879354,0.569879354,0.569879354,0.569879354,0.721368003,0.721368003,0.721368003,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMEROON,CMR,Nord,Guinea savana,7,NA,1984,0,13,70,24,N,HAEMAGGLUTINATION INHIBITION,0,Y,TSAI,NA,NA,32493.30476,30648.13032,28968.67391,27442.84281,26174.53897,24931.85261,23796.9665,22759.21996,21807.71363,20938.15141,20146.23719,19388.85088,18642.0457,17914.65253,17238.57386,16606.88822,15989.3638,15374.14653,14768.47616,14193.99228,13649.26286,13115.91014,12587.56955,12072.59459,11580.21393,11103.02873,10676.1238,10316.28574,10004.34124,9706.00104,9429.380011,9147.587751,8844.155882,8531.893144,8239.599309,7960.432443,7699.325104,7461.368964,7241.790579,7028.895016,6822.284485,6630.630743,6456.081839,6293.466543,6136.022477,5985.977248,5827.737608,5653.268262,5469.092914,5289.770567,5112.357597,4938.683824,4771.295085,4608.202445,4445.109804,4282.653623,4121.629474,3961.798687,3803.081703,3645.398964,3488.909587,3332.499767,3175.533045,3018.566323,2862.87252,2708.690307,2553.951192,2397.859601,2241.608896,2087.82447,1936.744994,1787.336224,1639.518602,1494.405931,1353.589358,1217.227999,1086.515215,962.4056933,844.9789922,733.5986524,625.9575097,532.0002373,446.2373757,374.3174991,315.5245912,232.2280085,195.1542668,155.375574,108.8345035,86.87666505,54.73548128,43.99523422,33.0958724,23.07164182,16.70705097,7.637509015,6.364590846,4.85300052,3.341410194,1.591147712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319129611,0.319129611,0.319129611,0.319129611,0.552542618,0.552542618,0.552542618,0.552542618,0.710137272,0.710137272,0.710137272,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMEROON,CMR,Extreme-Nord,Sudan savana,4,NA,1984,0,13,50,4,N,COMPLEMENT-FIXATION,0,Y,TSAI,NA,NA,72073.24162,67980.46914,64255.27503,60870.83648,58057.61788,55301.22129,52783.93593,50482.11537,48371.58379,46442.81204,44686.27096,43006.31606,41349.83112,39736.40384,38236.79704,36835.65819,35465.93025,34101.31983,32757.8853,31483.62539,30275.36371,29092.33665,27920.42693,26778.16348,25686.01633,24627.57415,23680.6584,22882.50335,22190.58075,21528.83381,20915.26205,20290.22,19617.17925,18924.55078,18276.21525,17656.99658,17077.83565,16550.02629,16062.98055,15590.75793,15132.47611,14707.36988,14320.2038,13959.5076,13610.28168,13277.46709,12926.47651,12539.4869,12130.96846,11733.21443,11339.69558,10954.47063,10583.18648,10221.43148,9859.676488,9499.33322,9142.166338,8787.646444,8435.597071,8085.841755,7738.733426,7391.801563,7043.634439,6695.467315,6350.123645,6008.132826,5664.906746,5318.680746,4972.101815,4630.993325,4295.884675,3964.481807,3636.608256,3314.734544,3002.389987,2699.927519,2409.994126,2134.707398,1874.243803,1627.191611,1388.433315,1180.027145,989.7969578,830.2718285,699.8635647,515.1038188,432.8707323,344.6378068,241.405284,192.7007092,121.4085054,97.58561555,73.40979398,51.17509676,37.05782869,16.94072169,14.11726807,10.76441691,7.411565738,3.529317018,0,0,0,0,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.345509933,0.345509933,0.345509933,0.345509933,0.569879354,0.569879354,0.569879354,0.569879354,0.721368003,0.721368003,0.721368003,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMEROON,CMR,Nord,Guinea savana,7,NA,1984,0,13,11,6,N,COMPLEMENT-FIXATION,0,Y,TSAI,NA,NA,32493.30476,30648.13032,28968.67391,27442.84281,26174.53897,24931.85261,23796.9665,22759.21996,21807.71363,20938.15141,20146.23719,19388.85088,18642.0457,17914.65253,17238.57386,16606.88822,15989.3638,15374.14653,14768.47616,14193.99228,13649.26286,13115.91014,12587.56955,12072.59459,11580.21393,11103.02873,10676.1238,10316.28574,10004.34124,9706.00104,9429.380011,9147.587751,8844.155882,8531.893144,8239.599309,7960.432443,7699.325104,7461.368964,7241.790579,7028.895016,6822.284485,6630.630743,6456.081839,6293.466543,6136.022477,5985.977248,5827.737608,5653.268262,5469.092914,5289.770567,5112.357597,4938.683824,4771.295085,4608.202445,4445.109804,4282.653623,4121.629474,3961.798687,3803.081703,3645.398964,3488.909587,3332.499767,3175.533045,3018.566323,2862.87252,2708.690307,2553.951192,2397.859601,2241.608896,2087.82447,1936.744994,1787.336224,1639.518602,1494.405931,1353.589358,1217.227999,1086.515215,962.4056933,844.9789922,733.5986524,625.9575097,532.0002373,446.2373757,374.3174991,315.5245912,232.2280085,195.1542668,155.375574,108.8345035,86.87666505,54.73548128,43.99523422,33.0958724,23.07164182,16.70705097,7.637509015,6.364590846,4.85300052,3.341410194,1.591147712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319129611,0.319129611,0.319129611,0.319129611,0.552542618,0.552542618,0.552542618,0.552542618,0.710137272,0.710137272,0.710137272,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMEROON,CMR,Extreme-Nord,Sudan savana,4,NA,1984,0,13,90,10,N,NEUTRALIZATION TEST,1,Y,TSAI,NA,NA,72073.24162,67980.46914,64255.27503,60870.83648,58057.61788,55301.22129,52783.93593,50482.11537,48371.58379,46442.81204,44686.27096,43006.31606,41349.83112,39736.40384,38236.79704,36835.65819,35465.93025,34101.31983,32757.8853,31483.62539,30275.36371,29092.33665,27920.42693,26778.16348,25686.01633,24627.57415,23680.6584,22882.50335,22190.58075,21528.83381,20915.26205,20290.22,19617.17925,18924.55078,18276.21525,17656.99658,17077.83565,16550.02629,16062.98055,15590.75793,15132.47611,14707.36988,14320.2038,13959.5076,13610.28168,13277.46709,12926.47651,12539.4869,12130.96846,11733.21443,11339.69558,10954.47063,10583.18648,10221.43148,9859.676488,9499.33322,9142.166338,8787.646444,8435.597071,8085.841755,7738.733426,7391.801563,7043.634439,6695.467315,6350.123645,6008.132826,5664.906746,5318.680746,4972.101815,4630.993325,4295.884675,3964.481807,3636.608256,3314.734544,3002.389987,2699.927519,2409.994126,2134.707398,1874.243803,1627.191611,1388.433315,1180.027145,989.7969578,830.2718285,699.8635647,515.1038188,432.8707323,344.6378068,241.405284,192.7007092,121.4085054,97.58561555,73.40979398,51.17509676,37.05782869,16.94072169,14.11726807,10.76441691,7.411565738,3.529317018,0,0,0,0,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.038744999,0.345509933,0.345509933,0.345509933,0.345509933,0.569879354,0.569879354,0.569879354,0.569879354,0.721368003,0.721368003,0.721368003,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0.744574035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMEROON,CMR,Nord,Guinea savana,7,NA,1984,0,13,24,17,N,NEUTRALIZATION TEST,1,Y,TSAI,NA,NA,32493.30476,30648.13032,28968.67391,27442.84281,26174.53897,24931.85261,23796.9665,22759.21996,21807.71363,20938.15141,20146.23719,19388.85088,18642.0457,17914.65253,17238.57386,16606.88822,15989.3638,15374.14653,14768.47616,14193.99228,13649.26286,13115.91014,12587.56955,12072.59459,11580.21393,11103.02873,10676.1238,10316.28574,10004.34124,9706.00104,9429.380011,9147.587751,8844.155882,8531.893144,8239.599309,7960.432443,7699.325104,7461.368964,7241.790579,7028.895016,6822.284485,6630.630743,6456.081839,6293.466543,6136.022477,5985.977248,5827.737608,5653.268262,5469.092914,5289.770567,5112.357597,4938.683824,4771.295085,4608.202445,4445.109804,4282.653623,4121.629474,3961.798687,3803.081703,3645.398964,3488.909587,3332.499767,3175.533045,3018.566323,2862.87252,2708.690307,2553.951192,2397.859601,2241.608896,2087.82447,1936.744994,1787.336224,1639.518602,1494.405931,1353.589358,1217.227999,1086.515215,962.4056933,844.9789922,733.5986524,625.9575097,532.0002373,446.2373757,374.3174991,315.5245912,232.2280085,195.1542668,155.375574,108.8345035,86.87666505,54.73548128,43.99523422,33.0958724,23.07164182,16.70705097,7.637509015,6.364590846,4.85300052,3.341410194,1.591147712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319129611,0.319129611,0.319129611,0.319129611,0.552542618,0.552542618,0.552542618,0.552542618,0.710137272,0.710137272,0.710137272,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMEROON,CMR,Centre,Villages_2_8,2,NA,2000,16,99,59,30,N,PLAQUE-REDUCTION NEUTRALIZATION TEST,1,N,KUNIHOLM,NA,NA,92715.48467,89160.42964,85981.13901,83138.44999,80592.86932,78305.23421,76236.38189,74346.81908,72597.54826,70949.07616,69404.37715,67965.92991,66384.54678,64537.12115,62510.40599,60539.04751,58606.19083,56561.4641,54362.8954,52080.2176,49820.17821,47556.33821,45436.92128,43545.04506,41818.41264,40109.62655,38445.62153,36840.60854,35285.99491,33784.25929,32345.6468,30967.51355,29638.62294,28353.85243,27115.68067,25934.35277,24811.85167,23728.01761,22674.58841,21662.47016,20699.42932,19771.42016,18945.03594,18250.02054,17649.52458,17078.44203,16551.81005,16012.28905,15425.67358,14817.9069,14247.15483,13699.37165,13183.97625,12710.55277,12269.02135,11835.91736,11411.07556,11006.06302,10622.36692,10252.22082,9887.858252,9532.749335,9156.323968,8743.379722,8306.805614,7876.345526,7447.70312,7018.730226,6592.235989,6168.550896,5747.344461,5331.095339,4917.98585,4507.850749,4104.3254,3711.871385,3331.64541,2966.787109,2619.940382,2292.096691,1980.77738,1685.817205,1418.617987,1184.137041,978.243271,790.1958314,619.3337466,476.2326194,364.0320821,277.1138455,193.8309724,139.3005198,110.878587,78.98653438,43.62436209,23.96035039,19.6640117,15.03718542,10.07987154,4.792070078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319129611,0.319129611,0.319129611,0.319129611,0.552542618,0.552542618,0.552542618,0.552542618,0.710137272,0.710137272,0.710137272,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0,0,0,0
CAMEROON,CMR,Est,Villages_6_7_9,3,NA,2000,16,99,85,13,N,PLAQUE-REDUCTION NEUTRALIZATION TEST,1,N,KUNIHOLM,NA,NA,27066.41685,26028.5902,25100.46039,24270.59463,23527.46366,22859.63471,22255.67497,21704.0552,21193.39084,20712.15264,20261.2089,19841.28323,19379.6303,18840.31162,18248.65299,17673.15462,17108.89607,16511.97932,15870.1515,15203.76973,14543.99679,13883.11433,13264.39328,12712.09816,12208.04262,11709.19697,11223.42424,10754.87305,10301.03494,9862.6335,9442.659583,9040.341359,8652.398533,8277.33568,7915.876392,7571.011525,7243.319954,6926.916449,6619.389028,6323.921507,6042.781146,5771.867579,5530.621362,5327.725625,5152.422935,4985.706894,4831.967304,4674.465025,4503.214462,4325.78923,4159.169668,3999.255409,3848.796112,3710.589671,3581.693472,3455.257493,3331.233494,3212.998245,3100.985905,2992.929212,2886.560904,2782.894014,2673.004216,2552.453467,2425.004456,2299.34031,2174.2068,2048.976811,1924.470415,1800.784093,1677.821364,1556.305824,1435.706836,1315.97616,1198.175068,1083.606029,972.6067206,866.0936941,764.8387836,669.1314265,578.2480289,492.1403513,414.1369257,345.68494,285.5784042,230.6817448,180.8020032,139.0265137,106.2718285,80.89780133,56.5850453,40.66597884,32.36876845,23.05852656,12.73525316,6.99474132,5.740511842,4.389803173,2.942615314,1.398948264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319129611,0.319129611,0.319129611,0.319129611,0.552542618,0.552542618,0.552542618,0.552542618,0.710137272,0.710137272,0.710137272,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0,0,0,0
CAMEROON,CMR,Littoral,Village_3,5,NA,2000,16,99,27,9,N,PLAQUE-REDUCTION NEUTRALIZATION TEST,1,N,KUNIHOLM,NA,NA,72314.93547,69542.11305,67062.37412,64845.17304,62859.70639,61075.42855,59461.79386,57987.99892,56623.62697,55337.8746,54133.06173,53011.12164,51777.6964,50336.76702,48755.9979,47218.4051,45710.8424,44116.02486,42401.21579,40620.80448,38858.05036,37092.33189,35439.25852,33963.6592,32616.94443,31284.1492,29986.28168,28734.42595,27521.88002,26350.57714,25228.50816,24153.61093,23117.1213,22115.04385,21149.31184,20227.91612,19352.40331,18507.04948,17685.41041,16895.99248,16144.85327,15421.03758,14776.4859,14234.39744,13766.03095,13320.60591,12909.85082,12489.04273,12031.50254,11557.46513,11112.29786,10685.04555,10283.0546,9913.80034,9569.420796,9231.614365,8900.252162,8584.356106,8285.086158,7996.384744,7712.194289,7435.22137,7141.622343,6819.539828,6479.026821,6143.282543,5808.955995,5474.371678,5141.720629,4811.260617,4482.733874,4158.073668,3835.862269,3515.970791,3201.234696,2895.133867,2598.570495,2313.993387,2043.464696,1787.757729,1544.939218,1314.880279,1106.473946,923.5867555,762.996594,616.325965,483.0593301,371.4453014,283.9326852,216.1394068,151.1815886,108.6496839,86.48153963,61.60681959,34.02552379,18.68826117,15.33726262,11.72849494,7.861958148,3.737652234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319129611,0.319129611,0.319129611,0.319129611,0.552542618,0.552542618,0.552542618,0.552542618,0.710137272,0.710137272,0.710137272,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0,0,0,0
CAMEROON,CMR,Sud-Ouest,Village_1,9,NA,2000,16,99,30,4,N,PLAQUE-REDUCTION NEUTRALIZATION TEST,1,N,KUNIHOLM,NA,NA,44453.69045,42749.17134,41224.81754,39861.85192,38641.33891,37544.50139,36552.56222,35646.58583,34807.87432,34017.49212,33276.86534,32587.1824,31828.96691,30943.19376,29971.45782,29026.26339,28099.52917,27119.15734,26065.02391,24970.56323,23886.95684,22801.5282,21785.34515,20878.25956,20050.40234,19231.10179,18433.27212,17663.72698,16918.34649,16198.31908,15508.55691,14847.79232,14210.63779,13594.63722,13000.97906,12434.57546,11896.37715,11376.71829,10871.63744,10386.36369,9924.620757,9479.674242,9083.453173,8750.218657,8462.302768,8188.489527,7935.988718,7677.308097,7396.04739,7104.645452,6830.990669,6568.348628,6321.235348,6094.246074,5882.547874,5674.890321,5471.194187,5277.005457,5093.037186,4915.565642,4740.86709,4570.605327,4390.123104,4192.131413,3982.810064,3776.420165,3570.901778,3365.224935,3160.736517,2957.594981,2755.641871,2556.065611,2357.994691,2161.349882,1967.874207,1779.706832,1597.402357,1422.466121,1256.165776,1098.976694,949.7104483,808.2878113,680.1755401,567.7504858,469.0319391,378.8700562,296.9479236,228.3361568,174.5400949,132.8659733,92.93487577,66.7895143,53.16223499,37.87115995,20.91628918,11.48811337,9.428175803,7.209781496,4.832930454,2.297622675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319129611,0.319129611,0.319129611,0.319129611,0.552542618,0.552542618,0.552542618,0.552542618,0.710137272,0.710137272,0.710137272,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0.734278662,0,0,0,0
